"candidateKey","stage","system","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","elapsedSeconds","workerKernel","status","source","started","completed"
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|2.319731291671675","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.319731291671675}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.319731291671675",0.00033639352490989234,-0.0016237433116787822,,-4.8269160713296255,10152.116785,18,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:53:57"
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|1.8979619659131886","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 1.8979619659131886}","0.6798642956307124|0.15377949033301186|2.492963267977676|1.8979619659131886",0.000936911835127795,-0.004552212027860493,,-4.858741086603492,10171.1846669,17,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:54:16"
"XX::1000000::0.6798642956307124|0.15377949033301186|2.293526206539462|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.293526206539462, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.293526206539462|2.1088466287924317",0.0005298378537489662,-0.002559435577956089,,-4.830601588479054,10195.7073348,15,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:54:41"
"XX::1000000::0.6798642956307124|0.19222436291626482|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.19222436291626482, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.19222436291626482|2.492963267977676|2.1088466287924317",0.00046490024232246534,-0.0022477120845243335,,-4.834826657210622,10198.155445299999,14,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:54:43"
"XX::1000000::0.5982805801550269|0.15377949033301186|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.5982805801550269, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.5982805801550269|0.15377949033301186|2.492963267977676|2.1088466287924317",0.0007723146577140943,-0.0037732441817946005,,-4.885630674112403,10217.6890054,11,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:55:03"
"XX::1000000::0.7614480111063978|0.15377949033301186|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.7614480111063978, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.7614480111063978|0.15377949033301186|2.492963267977676|2.1088466287924317",0.0004004417870845244,-0.0019411408109394873,,-4.847498122192116,10229.158418300001,12,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:55:14"
"XX::1000000::0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317",0.0006584383364862406,-0.003232097154555052,,-4.908731729994876,10230.2918268,13,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:55:15"
"XX::2000000::0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-first-verification","XX",2000000,"{0.6798642956307124, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317",0.0006595810507050123,-0.003232603517107027,,-4.900995129638376,6971.7156877,11,"complete","parallel-pattern-search","2026-07-31T23:55:18","2026-08-01T01:51:30"
"XX::1000000::0.7206561533685552|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.7206561533685552, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.7206561533685552|0.1153346177497589|2.492963267977676|2.1088466287924317",0.0005596135017270641,-0.0027345776927142277,,-4.886547026250882,6869.4253917,14,"complete","parallel-pattern-search","2026-08-01T01:51:30","2026-08-01T03:45:59"
"XX::1000000::0.6798642956307124|0.13455705404138538|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6798642956307124, 0.13455705404138538, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.13455705404138538|2.492963267977676|2.1088466287924317",0.0006036055607985108,-0.0029475944371364065,,-4.883312263122673,6886.3302983,12,"complete","parallel-pattern-search","2026-08-01T01:51:30","2026-08-01T03:46:16"
"XX::1000000::0.6390724378928696|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6390724378928696, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6390724378928696|0.1153346177497589|2.492963267977676|2.1088466287924317",0.0007809917289565144,-0.0038235118578198645,,-4.895713636978552,6898.830095,13,"complete","parallel-pattern-search","2026-08-01T01:51:30","2026-08-01T03:46:29"
"XX::1000000::0.6798642956307124|0.09611218145813241|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6798642956307124, 0.09611218145813241, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.09611218145813241|2.492963267977676|2.1088466287924317",0.0007208840953307435,-0.0035349066794346496,,-4.903571464997886,6899.6104839,11,"complete","parallel-pattern-search","2026-08-01T01:51:30","2026-08-01T03:46:29"
