"candidateKey","stage","geometryKey","a","c","system","budget","parameters","parameterKey","workerKernel","source","integral","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"5.|2.::X::2000000::0.6896059882672617","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6896059882672617}","0.6896059882672617",23,"parallel-pattern-search-remaining","coulombNumerator",321.3030647,-0.22036936815704375,true,-0.220369,0.000440745,0.002000028423577945,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.220369 and 0.000440745
     for the integral and error estimates."
"5.|2.::X::2000000::0.6472617609175176","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6472617609175176}","0.6472617609175176",22,"parallel-pattern-search-remaining","normDenominator",234.1042244,0.11093828936413082,true,0.110938,0.000112471,0.0010138158848910892,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.110938 and 0.000112471
     for the integral and error estimates."
"5.|2.::X::2000000::0.6472617609175176","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6472617609175176}","0.6472617609175176",22,"parallel-pattern-search-remaining","coulombNumerator",321.4726236,-0.23797837151389328,true,-0.237978,0.000457272,0.0019214855412745114,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.237978 and 0.000457272
     for the integral and error estimates."
"3.|1.::X::2000000::0.607236891368285","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.607236891368285}","0.607236891368285",25,"parallel-pattern-search-remaining","normDenominator",233.774051,0.2765206450110019,true,0.276521,0.000153521,0.000555188203014252,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.276521 and 0.000153521
     for the integral and error estimates."
"3.|1.::X::2000000::0.607236891368285","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.607236891368285}","0.607236891368285",25,"parallel-pattern-search-remaining","coulombNumerator",321.5165027,-0.8654158414617543,true,-0.865416,0.0011561,0.0013358895742505215,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.865416 and 0.0011561
     for the integral and error estimates."
"3.|1.::X::2000000::0.6566631499680291","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.6566631499680291}","0.6566631499680291",19,"parallel-pattern-search-remaining","normDenominator",233.3856272,0.25348726069887706,true,0.253487,0.000150691,0.0005944716889698415,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.253487 and 0.000150691
     for the integral and error estimates."
"3.|1.::X::2000000::0.6566631499680291","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.6566631499680291}","0.6566631499680291",19,"parallel-pattern-search-remaining","coulombNumerator",333.0533628,-0.8119739970874816,true,-0.811974,0.0011291,0.0013905617717439682,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.811974 and 0.0011291
     for the integral and error estimates."
"3.|1.::X::2000000::0.7060894085677732","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.7060894085677732}","0.7060894085677732",24,"parallel-pattern-search-remaining","normDenominator",233.2705971,0.23286548248378441,true,0.232865,0.00014806,0.0006358177194007709,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.232865 and 0.00014806
     for the integral and error estimates."
"3.|1.::X::2000000::0.7060894085677732","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.7060894085677732}","0.7060894085677732",24,"parallel-pattern-search-remaining","coulombNumerator",332.9738035,-0.7644214777778886,true,-0.764421,0.00110699,0.0014481408910931315,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.764421 and 0.00110699
     for the integral and error estimates."
"3.|1.::X::2000000::0.7555156671675174","X-initial-grid","3.|1.",3,1,"X",2000000,"{0.7555156671675174}","0.7555156671675174",26,"parallel-pattern-search-remaining","normDenominator",233.5344351,0.21435985714383085,true,0.21436,0.000143922,0.0006714036943187149,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.21436 and 0.000143922
     for the integral and error estimates."
