"stage","budget","system","integral","parameters","parameterKey","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"optimization",100000,"X","normDenominator","{0.6545269085677733}","0.6545269085677733",4.0816489,0.19057377086714972,true,0.190574,0.000631999,0.0033162958214253465,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.190574 and 0.000631999
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6545269085677733}","0.6545269085677733",5.5513142,-0.5433981902839663,true,-0.543398,0.0040445,0.007442976572826726,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.543398 and 0.0040445
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6514019085677732}","0.6514019085677732",4.049047,0.19183042446916374,true,0.19183,0.000633121,0.0033004201588563583,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.19183 and 0.000633121
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6514019085677732}","0.6514019085677732",5.5738747,-0.545216602423575,true,-0.545217,0.00400874,0.007352564067529327,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.545217 and 0.00400874
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6537456585677732}","0.6537456585677732",4.0682529,0.19087924774056347,true,0.190879,0.000631771,0.0033097940581716958,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.190879 and 0.000631771
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6537456585677732}","0.6537456585677732",5.5245784,-0.5442115932672654,true,-0.544212,0.00403882,0.007421414850338391,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.544212 and 0.00403882
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6521831585677733}","0.6521831585677733",4.0202082,0.19161479395208716,true,0.191615,0.000633827,0.0033078187071426592,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.191615 and 0.000633827
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6521831585677733}","0.6521831585677733",5.5312133,-0.542693062253251,true,-0.542693,0.00396851,0.0073126234257037005,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.542693 and 0.00396851
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6533550335677732}","0.6533550335677732",3.9944798,0.19112385914423832,true,0.191124,0.00063298,0.003311883732539638,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.191124 and 0.00063298
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6533550335677732}","0.6533550335677732",5.6217852,-0.5423620315463469,true,-0.542362,0.00399638,0.007368473026413343,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.542362 and 0.00399638
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.1088466287924317",21.1377747,0.0005521111779897368,false,,,,""
"optimization",100000,"XX","hamiltonianNumerator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.1088466287924317",318.1840123,-0.002679507860815574,false,,,,""
"optimization",100000,"XX","normDenominator","{0.8798642956307123, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.8798642956307123|0.15377949033301186|2.492963267977676|2.1088466287924317",21.039379,0.00025339177891059824,false,,,,""
"optimization",100000,"XX","hamiltonianNumerator","{0.8798642956307123, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.8798642956307123|0.15377949033301186|2.492963267977676|2.1088466287924317",315.9650464,-0.0011868000471960461,false,,,,""
"optimization",100000,"XX","normDenominator","{0.6798642956307124, 0.35377949033301187, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.35377949033301187|2.492963267977676|2.1088466287924317",21.3320336,0.00023181714298306608,false,,,,""
"optimization",100000,"XX","hamiltonianNumerator","{0.6798642956307124, 0.35377949033301187, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.35377949033301187|2.492963267977676|2.1088466287924317",316.1638326,-0.0010578034868047538,false,,,,""
"optimization",100000,"XX","normDenominator","{0.6798642956307124, 0.15377949033301186, 2.6929632679776763, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.6929632679776763|2.1088466287924317",21.0013499,0.0005902055682980163,false,,,,""
"optimization",100000,"XX","hamiltonianNumerator","{0.6798642956307124, 0.15377949033301186, 2.6929632679776763, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.6929632679776763|2.1088466287924317",323.2784932,-0.002849024632552079,false,,,,""
"optimization",100000,"XX","normDenominator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.308846628792432}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.308846628792432",21.0756173,0.0003410618576973123,false,,,,""
"optimization",100000,"XX","hamiltonianNumerator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.308846628792432}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.308846628792432",316.9707927,-0.0016816101832229952,false,,,,""
"optimization",100000,"XX","normDenominator","{0.7798642956307125, 0.06524678079740286, 2.5929632679776757, 2.208846628792432}","0.7798642956307125|0.06524678079740286|2.5929632679776757|2.208846628792432",21.1113176,0.0004503180317482229,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000450318 and 3.18168 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.7798642956307125, 0.06524678079740286, 2.5929632679776757, 2.208846628792432}","0.7798642956307125|0.06524678079740286|2.5929632679776757|2.208846628792432",320.8061113,-0.002155817409539281,true,-0.00215582,0.0000252593,0.011716808616643539,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00215582 and 0.0000252593
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.5298642956307125, 0.10951313556520736, 2.6429632679776764, 2.258846628792432}","0.5298642956307125|0.10951313556520736|2.6429632679776764|2.258846628792432",20.9715929,0.0009201954492234521,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000920195 and 5.37368 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.5298642956307125, 0.10951313556520736, 2.6429632679776764, 2.258846628792432}","0.5298642956307125|0.10951313556520736|2.6429632679776764|2.258846628792432",315.7252183,-0.004471908187531968,true,-0.00447191,0.0000445078,0.009952753530157718,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00447191 and 0.0000445078
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.5048642956307123, 0.2201790224847186, 2.567963267977677, 2.183846628792431}","0.5048642956307123|0.2201790224847186|2.567963267977677|2.183846628792431",20.8872731,0.0007176051256082569,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000717605 and 4.51982 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.5048642956307123, 0.2201790224847186, 2.567963267977677, 2.183846628792431}","0.5048642956307123|0.2201790224847186|2.567963267977677|2.183846628792431",315.9541175,-0.0035213384132311305,true,-0.00352134,0.000037581,0.010672362491146144,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00352134 and 0.000037581
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.5173642956307123, 0.16484607902496295, 2.4054632679776766, 2.321346628792431}","0.5173642956307123|0.16484607902496295|2.4054632679776766|2.321346628792431",21.1134123,0.000611771066663855,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000611771 and 3.97479 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.5173642956307123, 0.16484607902496295, 2.4054632679776766, 2.321346628792431}","0.5173642956307123|0.16484607902496295|2.4054632679776766|2.321346628792431",316.4025217,-0.002936817686894303,true,-0.00293682,0.0000326135,0.011105047530032044,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00293682 and 0.0000326135
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6392392956307124, 0.15654613750599963, 2.6210882679776764, 2.1619716287924318}","0.6392392956307124|0.15654613750599963|2.6210882679776764|2.1619716287924318",20.9157953,0.0005842075439648072,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000584208 and 3.86686 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6392392956307124, 0.15654613750599963, 2.6210882679776764, 2.1619716287924318}","0.6392392956307124|0.15654613750599963|2.6210882679776764|2.1619716287924318",316.6283655,-0.0028708597425212696,true,-0.00287086,0.0000314463,0.010953617668685888,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00287086 and 0.0000314463
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.49705179563071256, 0.1662294026114569, 2.669525767977677, 2.347909128792432}","0.49705179563071256|0.1662294026114569|2.669525767977677|2.347909128792432",21.0937004,0.0006580604253158959,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                         -6
     integrand evaluations. NIntegrate obtained 0.00065806 and 3.98634 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.49705179563071256, 0.1662294026114569, 2.669525767977677, 2.347909128792432}","0.49705179563071256|0.1662294026114569|2.669525767977677|2.347909128792432",315.9056346,-0.0031922696673496133,true,-0.00319227,0.0000331594,0.010387405656593744,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00319227 and 0.0000331594
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6341611706307124, 0.15689196840262312, 2.5371038929776764, 2.168612253792432}","0.6341611706307124|0.15689196840262312|2.5371038929776764|2.168612253792432",21.0964655,0.0005752042779642941,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000575204 and 3.84067 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6341611706307124, 0.15689196840262312, 2.5371038929776764, 2.168612253792432}","0.6341611706307124|0.15689196840262312|2.5371038929776764|2.168612253792432",322.5106838,-0.002781860590858598,true,-0.00278186,0.0000312144,0.011220691684756904,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00278186 and 0.0000312144
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.2088466287924318}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.2088466287924318",21.446209,0.00043279777476249863,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000432798 and 3.04956 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.2088466287924318}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.2088466287924318",329.9094704,-0.002083326209419473,true,-0.00208333,0.000024419,0.011721160080256683,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00208333 and 0.000024419
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6048642956307124, 0.1316463129491096, 2.5679632679776763, 2.283846628792432}","0.6048642956307124|0.1316463129491096|2.5679632679776763|2.283846628792432",21.4913325,0.0005560268216883636,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                         -6
     integrand evaluations. NIntegrate obtained 0.000556027 and 3.6136 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6048642956307124, 0.1316463129491096, 2.5679632679776763, 2.283846628792432}","0.6048642956307124|0.1316463129491096|2.5679632679776763|2.283846628792432",319.8644213,-0.0026618906729907257,true,-0.00266189,0.000029474,0.011072580966251687,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00266189 and 0.000029474
     for the integral and error estimates."
