"candidateKey","stage","system","budget","parameters","parameterKey","workerKernel","source","integral","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|1.8979619659131886","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 1.8979619659131886}","0.6798642956307124|0.15377949033301186|2.492963267977676|1.8979619659131886",17,"parallel-pattern-search","normDenominator",615.3495232,0.000936911835127795,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000936912 and 1.92547 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|1.8979619659131886","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 1.8979619659131886}","0.6798642956307124|0.15377949033301186|2.492963267977676|1.8979619659131886",17,"parallel-pattern-search","hamiltonianNumerator",9555.8351437,-0.004552212027860493,true,-0.00455221,0.0000154873,0.003402148209532964,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.00455221 and 0.0000154873
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.293526206539462|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.293526206539462, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.293526206539462|2.1088466287924317",15,"parallel-pattern-search","normDenominator",621.8246667,0.0005298378537489662,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000529838 and 1.19069 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.293526206539462|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.293526206539462, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.293526206539462|2.1088466287924317",15,"parallel-pattern-search","hamiltonianNumerator",9573.8826681,-0.002559435577956089,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained -0.00255944 and 9.69078 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.19222436291626482|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.19222436291626482, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.19222436291626482|2.492963267977676|2.1088466287924317",14,"parallel-pattern-search","normDenominator",619.6710931,0.00046490024232246534,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                        -6
     integrand evaluations. NIntegrate obtained 0.0004649 and 1.04527 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.19222436291626482|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.19222436291626482, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.19222436291626482|2.492963267977676|2.1088466287924317",14,"parallel-pattern-search","hamiltonianNumerator",9578.4843522,-0.0022477120845243335,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained -0.00224771 and 8.28906 10
     for the integral and error estimates."
"XX::1000000::0.5982805801550269|0.15377949033301186|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.5982805801550269, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.5982805801550269|0.15377949033301186|2.492963267977676|2.1088466287924317",11,"parallel-pattern-search","normDenominator",622.215542,0.0007723146577140943,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000772315 and 1.55319 10
     for the integral and error estimates."
"XX::1000000::0.5982805801550269|0.15377949033301186|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.5982805801550269, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.5982805801550269|0.15377949033301186|2.492963267977676|2.1088466287924317",11,"parallel-pattern-search","hamiltonianNumerator",9595.4734634,-0.0037732441817946005,true,-0.00377324,0.00001267,0.0033578531866903976,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.00377324 and 0.00001267
     for the integral and error estimates."
"XX::1000000::0.7614480111063978|0.15377949033301186|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.7614480111063978, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.7614480111063978|0.15377949033301186|2.492963267977676|2.1088466287924317",12,"parallel-pattern-search","normDenominator",624.1650635,0.0004004417870845244,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -7
     integrand evaluations. NIntegrate obtained 0.000400442 and 9.34339 10
     for the integral and error estimates."
"XX::1000000::0.7614480111063978|0.15377949033301186|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.7614480111063978, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.7614480111063978|0.15377949033301186|2.492963267977676|2.1088466287924317",12,"parallel-pattern-search","hamiltonianNumerator",9604.9933548,-0.0019411408109394873,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained -0.00194114 and 7.42596 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317",13,"parallel-pattern-search","normDenominator",623.7399142,0.0006584383364862406,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000658438 and 1.37662 10
     for the integral and error estimates."
