"candidateKey","stage","geometryKey","a","c","system","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","roughCorrectionErrorRy","singleParticleRy","totalRy","elapsedSeconds","workerKernel","status","source","started","completed"
"3.|1.::XX::1000000::0.6533017956307122|0.0833070356251368|2.5421820179776766|2.2986903787924318","XX-initial-stencil","3.|1.",3,1,"XX",1000000,"{0.6533017956307122, 0.0833070356251368, 2.5421820179776766, 2.2986903787924318}","0.6533017956307122|0.0833070356251368|2.5421820179776766|2.2986903787924318",0.0011441181663022996,-0.0064575413633997545,,-5.644120995185334,0.017157793244064204,27.490612192446577,21.846491197261244,10168.5616777,22,"complete","parallel-pattern-search-remaining","2026-08-01T22:28:11","2026-08-02T01:17:40"
"3.|1.::XX::1000000::0.6533017956307122|0.0633070356251368|2.745556579415891|2.2986903787924318","XX-initial-stencil","3.|1.",3,1,"XX",1000000,"{0.6533017956307122, 0.0633070356251368, 2.745556579415891, 2.2986903787924318}","0.6533017956307122|0.0633070356251368|2.745556579415891|2.2986903787924318",0.001268928054401071,-0.007144557353854971,,-5.630388050035802,0.016691722102966468,27.490612192446577,21.860224142410775,10380.7829727,19,"complete","parallel-pattern-search-remaining","2026-08-02T01:11:46","2026-08-02T04:04:47"
"3.|1.::XX::1000000::0.6533017956307122|0.0633070356251368|2.3388074565394623|2.2986903787924318","XX-initial-stencil","3.|1.",3,1,"XX",1000000,"{0.6533017956307122, 0.0633070356251368, 2.3388074565394623, 2.2986903787924318}","0.6533017956307122|0.0633070356251368|2.3388074565394623|2.2986903787924318",0.0012376368174810192,-0.0070019797160593596,,-5.657539931876456,0.017524568761859184,27.490612192446577,21.83307226057012,10413.0851172,24,"complete","parallel-pattern-search-remaining","2026-08-02T01:11:37","2026-08-02T04:05:10"
"3.|1.::XX::1000000::0.6533017956307122|0.0633070356251368|2.5421820179776766|2.0688213409131886","XX-initial-stencil","3.|1.",3,1,"XX",1000000,"{0.6533017956307122, 0.0633070356251368, 2.5421820179776766, 2.0688213409131886}","0.6533017956307122|0.0633070356251368|2.5421820179776766|2.0688213409131886",0.0020813867957744196,-0.01172163399226236,,-5.631646177471354,0.016329580628803336,27.490612192446577,21.858966014975223,10405.8224345,26,"complete","parallel-pattern-search-remaining","2026-08-02T01:12:45","2026-08-02T04:06:11"
"3.|1.::XX::1000000::0.6533017956307122|0.0633070356251368|2.5421820179776766|2.528559416671675","XX-initial-stencil","3.|1.",3,1,"XX",1000000,"{0.6533017956307122, 0.0633070356251368, 2.5421820179776766, 2.528559416671675}","0.6533017956307122|0.0633070356251368|2.5421820179776766|2.528559416671675",0.0007605133556319567,-0.004302972646252356,,-5.657984326490564,0.017935295125648114,27.490612192446577,21.832627865956013,10405.7949488,21,"complete","parallel-pattern-search-remaining","2026-08-02T01:13:26","2026-08-02T04:06:52"
"7.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0012825954356545084,-0.005702902648958412,,-4.446376846841202,0.01820443705261838,24.74063817863761,20.294261331796406,10406.2079285,20,"complete","parallel-pattern-search-remaining","2026-08-02T01:14:46","2026-08-02T04:08:13"
"7.|1.::XX::1000000::0.565280580155027|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.565280580155027, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.565280580155027|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0018547177934196471,-0.008191106403897808,,-4.416362657952079,0.016738267399964247,24.74063817863761,20.324275520685532,10431.296059100001,23,"complete","parallel-pattern-search-remaining","2026-08-02T01:14:47","2026-08-02T04:08:38"
"7.|1.::XX::1000000::0.6423642956307125|0.03418019210545174|2.8304632679776756|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.03418019210545174, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.03418019210545174|2.8304632679776756|1.8963466287924327",0.0014352832940274219,-0.006364172459755644,,-4.434088020280442,0.017863045412103592,24.74063817863761,20.30655015835717,10450.766822200001,22,"complete","parallel-pattern-search-remaining","2026-08-02T01:17:40","2026-08-02T04:11:51"
"7.|1.::XX::1000000::0.719448011106398|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.719448011106398, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.719448011106398|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.000901169051607061,-0.004006520132070767,,-4.4459140323626425,0.019581788827952466,24.74063817863761,20.294724146274966,10467.3694903,25,"complete","parallel-pattern-search-remaining","2026-08-02T01:17:27","2026-08-02T04:11:54"
"7.|1.::XX::1000000::0.6423642956307125|0.07418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.07418019210545175, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.07418019210545175|2.8304632679776756|1.8963466287924327",0.0011467960883760793,-0.005103449782683485,,-4.450180668047294,0.018560543943203542,24.74063817863761,20.290457510590315,10110.3921223,19,"complete","parallel-pattern-search-remaining","2026-08-02T04:04:47","2026-08-02T06:53:17"
